Poet,double-draft instances,size of corpus (characters),double-draft ratio,Monk
姚崇,2,338,0.005917159763,
蔣貽恭,4,336,0.0119047619,
盧汝弼,3,336,0.008928571429,
吳越人,2,336,0.005952380952,
吳越僧,1,336,0.002976190476,
陸敬,0,336,0,
楊嗣複,0,330,0,
張文琮,0,330,0,
徐浩,0,330,0,
薛瑩,3,328,0.009146341463,
袁皓,1,328,0.003048780488,
伊用昌,2,326,0.006134969325,
沈傳師,1,326,0.003067484663,
鹿虔扆,0,325,0,
謝偃,2,324,0.006172839506,
宗楚客,0,324,0,
楊汝士,1,322,0.003105590062,
司馬逸客,1,320,0.003125,
常達,0,320,0,
崔日知,0,320,0,
霍總,1,318,0.003144654088,
陳潤,2,316,0.006329113924,
厲玄,0,316,0,
李程,0,316,0,
姚月華,2,312,0.00641025641,
張紘,2,304,0.006578947368,
鄭損,0,304,0,
廖融,0,302,0,
崔備,0,300,0,
徐敞,0,300,0,
張聿,0,300,0,
李暇,0,300,0,
鄭世翼,0,300,0,
李嶷,0,300,0,
尉遲汾,0,300,0,
程長文,2,294,0.006802721088,
李翱,4,290,0.01379310345,
左偃,2,290,0.006896551724,
江為,0,290,0,
鐘離權,0,290,0,
李騭,0,290,0,
慕幽,1,288,0.003472222222,
歸仁,0,288,0,Yes
萬齊融,1,286,0.003496503497,
蔡希寂,0,286,0,
唐扶,0,282,0,
陳元光,0,280,0,
劉禕之,0,280,0,
席豫,0,280,0,
李璟,2,279,0.007168458781,
鄭絪,1,278,0.003597122302,
張易之,0,276,0,
崔護,0,276,0,
元晦,0,276,0,
陳翊,0,276,0,
張均,0,268,0,
源幹曜,0,264,0,
賈曾,2,262,0.007633587786,
孔紹安,2,260,0.007692307692,
于良史,0,260,0,
岑羲,0,260,0,
徐晶,0,260,0,
章八元,0,260,0,
于頔,0,260,0,
張循之,0,260,0,
袁瓘,0,260,0,
孟賓於,1,258,0.003875968992,
張夫人,1,257,0.003891050584,
李存勖,0,255,0,
公乘億,1,254,0.003937007874,
顧甄遠,2,252,0.007936507937,
于季子,1,252,0.003968253968,
裴諝,4,251,0.01593625498,
張嘉貞,0,250,0,
劉斌,0,250,0,
元希聲,0,248,0,
張為,0,248,0,
沈頌,1,246,0.00406504065,
鄭准,1,246,0.00406504065,
鮑君徽,0,245,0,
可朋,2,244,0.008196721311,Yes
韓休,2,244,0.008196721311,
劉庭琦,0,242,0,
魏萬,2,240,0.008333333333,
郭周藩,1,240,0.004166666667,
韋述,0,240,0,
宋昱,0,240,0,
楊浚,0,240,0,
皇甫澈,0,240,0,
韋處厚,0,240,0,
蔡孚,4,238,0.01680672269,
周匡物,2,238,0.008403361345,
廖匡圖,0,238,0,
